Title,Price,Size,Date
"
                   Funny Got Data MIS Data Systems Business Analyst T-Shirt
                  ","
                    $16.99
                   ","
               10 x 8 x 1 inches; 4.8 Ounces
              ",2021-10-22
"
                   Funny Got Data MIS Data Systems Business Analyst T-Shirt
                  ","
                    $16.99
                   ","
               10 x 8 x 1 inches; 4.8 Ounces
              ",2021-10-22
"
                   Funny Got Data MIS Data Systems Business Analyst T-Shirt
                  ","
                    $16.99
                   ","
               10 x 8 x 1 inches; 4.8 Ounces
              ",Fri Oct 22 02:40:06 2021
