Title,Location,Price,Area
House Willemsparkweg,            1071 HC Amsterdam (Museumkwartier)        ,"                €3,750 per month            ",139 m²
Apartment Oudezijds Achterburgwal,            1012 DE Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,395 per month            ",40 m²
Apartment Transvaalstraat,            1092 HB Amsterdam (Transvaalbuurt)        ,"                €1,500 per month            ",45 m²
Apartment Van der Hoopstraat 116 1,            1051 VN Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",47 m²
Apartment Baarsjesweg,            1058 AG Amsterdam (Westindische Buurt)        ,"                €2,100 per month            ",65 m²
Apartment Waalstraat,            1079 DP Amsterdam (Scheldebuurt)        ,"                €1,500 per month            ",50 m²
Apartment Wenslauerstraat,            1053 BB Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",53 m²
Studio Krulslaplantsoen,"            1104 KK Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,050 per month            ",128 m²
Studio Albert Cuypstraat 103 5V,            1072 CR Amsterdam (Oude Pijp)        ,"                €1,500 per month            ",23 m²
Apartment Giessenburg 31,            1082 CV Amsterdam (Buitenveldert-West)        ,"                €1,590 per month            ",66 m²
Apartment Stuyvesantstraat 38 IV,            1058 AM Amsterdam (Westindische Buurt)        ,"                €1,495 per month            ",40 m²
Apartment Willem Frederik Hermansstraat 95,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,875 per month            ",90 m²
Apartment Valkenburgerstraat 103 PP,            1011 MH Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,400 per month            ",104 m²
Apartment Nieuwe Herengracht 21 C,            1011 RL Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",100 m²
Apartment Fokke Simonszstraat 88 B,            1017 TK Amsterdam (De Weteringschans)        ,"                €1,975 per month            ",70 m²
House Landzicht,            1068 ZV Amsterdam (Osdorp-Oost)        ,"                €2,200 per month            ",185 m²
Apartment Wormerveerstraat,            1013 SL Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,425 per month            ",38 m²
Apartment Nieuwe Uilenburgerstraat 21,            1011 LM Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",74 m²
Apartment Bos en Lommerweg,            1055 EC Amsterdam (Landlust)        ,"                €1,475 per month            ",50 m²
Apartment Eerste Jacob van Campenstraat 24 2,            1072 BE Amsterdam (Oude Pijp)        ,"                €2,850 per month            ",80 m²
Apartment Vechtstraat,            1079 JS Amsterdam (Rijnbuurt)        ,"                €1,750 per month            ",60 m²
Apartment Prins Hendrikkade 78 E,            1012 AE Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,500 per month            ",60 m²
Apartment Rooseveltlaan,            1079 AC Amsterdam (Scheldebuurt)        ,"                €2,650 per month            ",120 m²
Apartment Rijnstraat 23 1,            1078 PV Amsterdam (IJselbuurt)        ,"                €1,400 per month            ",80 m²
Room Midscheeps,            1034 TD Amsterdam (Banne Buiksloot)        ,                €690 per month            ,50 m²
Apartment Bonairestraat,            1058 XH Amsterdam (Westindische Buurt)        ,"                €2,150 per month            ",90 m²
Apartment Valkenburgerstraat 220,            1011 ND Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,250 per month            ",70 m²
Apartment Prins Hendrikkade,            1011 TB Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,000 per month            ",145 m²
Room Midscheeps,            1034 TD Amsterdam (Banne Buiksloot)        ,                €690 per month            ,50 m²
Apartment Beethovenstraat 72 IV,            1077 JM Amsterdam (Apollobuurt)        ,"                €1,611 per month            ",75 m²
Apartment Marco Polostraat 263 3,            1056 DM Amsterdam (Van Galenbuurt)        ,"                €1,550 per month            ",50 m²
Apartment Nida Senffstraat 125,            1095 MX Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,550 per month            ",67 m²
